"2019-08-24 20:10:22,951 - hetero_secureboosting_tree_host.py[line:105] - INFO: begin to train secureboosting guest model"
"2019-08-24 20:10:23,601 - hetero_secureboosting_tree_host.py[line:59] - INFO: convert feature to bins"
"2019-08-24 20:10:24,168 - hetero_secureboosting_tree_host.py[line:105] - INFO: begin to train secureboosting guest model"
"2019-08-24 20:10:24,843 - hetero_secureboosting_tree_host.py[line:59] - INFO: convert feature to bins"
"2019-08-24 20:10:28,407 - hetero_secureboosting_tree_host.py[line:90] - INFO: sync tree dim from guest"
"2019-08-24 20:10:28,408 - hetero_secureboosting_tree_host.py[line:94] - INFO: tree dim is 1"
"2019-08-24 20:10:28,408 - hetero_secureboosting_tree_host.py[line:66] - INFO: sample valid features"
"2019-08-24 20:10:28,408 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 20:10:28,859 - hetero_secureboosting_tree_host.py[line:90] - INFO: sync tree dim from guest"
"2019-08-24 20:10:28,861 - hetero_secureboosting_tree_host.py[line:94] - INFO: tree dim is 1"
"2019-08-24 20:10:28,861 - hetero_secureboosting_tree_host.py[line:66] - INFO: sample valid features"
"2019-08-24 20:10:28,861 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 20:12:03,291 - hetero_secureboosting_tree_host.py[line:137] - INFO: end to train secureboosting guest model"
"2019-08-24 20:12:03,291 - hetero_secureboosting_tree_host.py[line:192] - INFO: save model"
"2019-08-24 20:12:03,346 - hetero_secureboosting_tree_host.py[line:137] - INFO: end to train secureboosting guest model"
"2019-08-24 20:12:03,346 - hetero_secureboosting_tree_host.py[line:192] - INFO: save model"
"2019-08-24 20:12:03,667 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 20:12:03,973 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 20:12:04,665 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 20:12:04,913 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 20:12:19,274 - hetero_secureboosting_tree_host.py[line:154] - INFO: end predict"
"2019-08-24 20:12:19,274 - hetero_secureboosting_tree_host.py[line:79] - INFO: set flowid, flowid is 1"
"2019-08-24 20:12:19,275 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 20:12:19,405 - hetero_secureboosting_tree_host.py[line:154] - INFO: end predict"
"2019-08-24 20:12:19,405 - hetero_secureboosting_tree_host.py[line:79] - INFO: set flowid, flowid is 1"
"2019-08-24 20:12:19,405 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 20:12:20,256 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 20:12:20,283 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 20:12:35,748 - hetero_secureboosting_tree_host.py[line:154] - INFO: end predict"
"2019-08-24 20:12:35,860 - hetero_secureboosting_tree_host.py[line:154] - INFO: end predict"
"2019-08-24 21:31:45,190 - hetero_secureboosting_tree_host.py[line:208] - INFO: load model"
"2019-08-24 21:31:45,193 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 21:31:45,744 - hetero_secureboosting_tree_host.py[line:208] - INFO: load model"
"2019-08-24 21:31:45,745 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 21:31:46,131 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 21:31:46,572 - hetero_secureboosting_tree_host.py[line:86] - INFO: generate encrypter"
"2019-08-24 21:31:49,482 - hetero_secureboosting_tree_host.py[line:154] - INFO: end predict"
"2019-08-24 21:31:49,482 - hetero_secureboosting_tree_host.py[line:154] - INFO: end predict"
"2019-08-24 22:50:24,682 - hetero_secureboosting_tree_host.py[line:208] - INFO: load model"
"2019-08-24 22:50:24,682 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
"2019-08-24 22:50:25,082 - hetero_secureboosting_tree_host.py[line:208] - INFO: load model"
"2019-08-24 22:50:25,084 - hetero_secureboosting_tree_host.py[line:140] - INFO: start predict"
