"2019-08-24 20:10:11,812 - imputer.py[line:286] - DEBUG: finish replace missing value with replace value 0"
"2019-08-24 20:10:12,167 - imputer.py[line:286] - DEBUG: finish replace missing value with replace value 0"
"2019-08-24 20:10:13,696 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 20:10:13,696 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 20:10:14,008 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 20:10:14,008 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 20:10:17,126 - imputer.py[line:286] - DEBUG: finish replace missing value with replace value 0"
"2019-08-24 20:10:17,179 - imputer.py[line:286] - DEBUG: finish replace missing value with replace value 0"
"2019-08-24 20:10:17,771 - imputer.py[line:286] - DEBUG: finish replace missing value with replace value 0"
"2019-08-24 20:10:17,820 - imputer.py[line:286] - DEBUG: finish replace missing value with replace value 0"
"2019-08-24 20:10:20,708 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 20:10:20,708 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 20:10:21,294 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 20:10:21,294 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 20:10:21,308 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 20:10:21,308 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 20:10:22,052 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 20:10:22,053 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 21:31:37,762 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 21:31:37,762 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 21:31:38,081 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 21:31:38,081 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 21:31:42,784 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 21:31:42,784 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 21:31:42,784 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 21:31:42,784 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 21:31:43,393 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 21:31:43,393 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 21:31:43,488 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 21:31:43,489 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 22:50:17,037 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 22:50:17,038 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 22:50:17,413 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 22:50:17,413 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 22:50:22,095 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 22:50:22,095 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 22:50:22,157 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 22:50:22,157 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 22:50:22,761 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 22:50:22,761 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-24 22:50:22,831 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-24 22:50:22,831 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:49:03,994 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:49:03,994 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:49:04,445 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:49:04,446 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:49:08,997 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:49:08,997 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:49:09,002 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:49:09,002 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:49:09,617 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:49:09,617 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:49:09,736 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:49:09,736 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:51:35,005 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:51:35,005 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:51:35,300 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:51:35,300 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:51:40,100 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:51:40,100 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:51:40,113 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:51:40,113 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:51:40,732 - imputer.py[line:369] - DEBUG: replace_method:None"
